epoch,rollout_nrmse,rollout_nrmse_v,rollout_nrmse_w,loss_data,loss_ic,loss_phy1,total_loss,lambda_data,lambda_ic,lambda_phy1,batch_nrmse,rollout_smooth
11,3.2489369213581085,0.17638376355171204,3.0725531578063965,0.02440297231078148,0.04071749374270439,0.0001287876657443121,0.0674813985824585,1.088255524635315,1.0022122859954834,0.9096970558166504,0.1365264905616641,8.736260273766256
12,3.4705672711133957,0.1726267784833908,3.297940492630005,0.020488191395998,0.02845381572842598,0.00010542000381974503,0.046154431998729706,1.0592024326324463,0.8553810715675354,1.0854989290237427,0.15322320535779,8.683603343739726
13,3.4758332520723343,0.18079479038715363,3.2950384616851807,0.022458689287304878,0.017896980047225952,7.38510352675803e-05,0.044803641736507416,1.4574863910675049,0.6708410978317261,0.8717137575149536,0.16347239539027214,8.631525642823053
14,3.266709327697754,0.15092039108276367,3.1157889366149902,0.024101993069052696,0.010381236672401428,7.71367340348661e-05,0.038851238787174225,1.3790404796600342,0.5326594710350037,1.0883207321166992,0.16932747326791286,8.5778774796718
15,3.0948142260313034,0.20054738223552704,2.8942668437957764,0.01992679573595524,0.005188468378037214,9.047086496138945e-05,0.02117030881345272,0.9426069259643555,0.43174561858177185,1.6256577968597412,0.17234307900071144,8.523046847135394
16,2.856471225619316,0.19650928676128387,2.6599619388580322,0.02221165969967842,0.0025814869441092014,0.0001048119374900125,0.022971848025918007,0.9848946332931519,0.3571302890777588,1.65798020362854,0.1686228895559907,8.466381090920233
17,2.5693724751472473,0.148546040058136,2.4208264350891113,0.018074944615364075,0.002328281756490469,9.5516508736182e-05,0.016745302826166153,0.8382711410522461,0.6212552785873413,1.5404760837554932,0.16068879514932632,8.407411004762503
18,2.323440358042717,0.13959936797618866,2.1838409900665283,0.012055952101945877,0.003413610393181443,7.706112955929711e-05,0.011842580512166023,0.6259596347808838,1.2327388525009155,1.1413025856018066,0.14408996514976025,8.346571298295304
19,2.127661034464836,0.1777971237897873,1.9498639106750488,0.01016999501734972,0.006193093489855528,6.303291593212634e-05,0.015101189725100994,0.5236964225769043,1.569170594215393,0.9071334600448608,0.13242761977016926,8.284382195656999
20,1.914303481578827,0.18972760438919067,1.7245758771896362,0.012022165581583977,0.009254510514438152,5.4128064221004024e-05,0.02221197821199894,0.5333468317985535,1.7028073072433472,0.7638461589813232,0.11960315890610218,8.220681408516217
21,1.6761767715215683,0.156614288687706,1.5195624828338623,0.012790003791451454,0.012101924978196621,5.295237133395858e-05,0.02804887667298317,0.5669816136360168,1.7153617143630981,0.7176567316055298,0.10847225785255432,8.15523636214627
22,1.4852757006883621,0.13442261517047882,1.3508530855178833,0.00827946700155735,0.013178151100873947,5.293610229273327e-05,0.02532673068344593,0.4976082146167755,1.6056370735168457,0.8967546224594116,0.10096815600991249,8.088536755531692
23,1.365604653954506,0.14972473680973053,1.2158799171447754,0.006311778910458088,0.013196920044720173,5.454069469124079e-05,0.02111896127462387,0.4852817952632904,1.3634376525878906,1.1512806415557861,0.09348440170288086,8.02130743451592
24,1.254649206995964,0.1550782173871994,1.0995709896087646,0.0072074169293046,0.012416266836225986,5.738556865253486e-05,0.018986178562045097,0.8899894952774048,1.0074187517166138,1.102591872215271,0.08745110780000687,7.953640852240721
25,1.1445913463830948,0.1403757482767105,1.0042155981063843,0.006770819425582886,0.01102334912866354,5.5338761740131304e-05,0.016222158446907997,0.9040555953979492,0.9103724956512451,1.1855719089508057,0.0802500182762742,7.885550357182145
26,1.0911045223474503,0.14599455893039703,0.9451099634170532,0.005994257517158985,0.0094502167776227,5.169655560166575e-05,0.01357724703848362,0.8822122812271118,0.870302677154541,1.2474849224090576,0.07523304224014282,7.817605898833798
27,1.081783652305603,0.15281730890274048,0.9289663434028625,0.005033619701862335,0.0076311565935611725,5.021751348976977e-05,0.01010155025869608,0.8028926253318787,0.7848316431045532,1.4122755527496338,0.07484684698283672,7.750247676368517
28,1.0752939283847809,0.13516417145729065,0.9401297569274902,0.005545498803257942,0.006432637572288513,5.017305738874711e-05,0.010462231934070587,1.0961546897888184,0.6718385219573975,1.2320067882537842,0.07242613565176725,7.683498138888679
