epoch,rollout_nrmse,rollout_nrmse_v,rollout_nrmse_w,loss_data,loss_phy2,total_loss,batch_nrmse,lambda_data,lambda_phy2,rollout_smooth
13,3.8965754210948944,0.14926382899284363,3.747311592102051,0.026846645399928093,1.0878220564336516e-05,0.017295459285378456,0.19757097773253918,0.6436815857887268,1.3576023578643799,8.477020296366815
14,3.8451546728610992,0.186350017786026,3.6588046550750732,0.027311407029628754,1.0756634765130002e-05,0.01645086146891117,0.2047131396830082,0.6017930507659912,1.3988490104675293,8.430701640131758
15,3.7652125507593155,0.19407416880130768,3.571138381958008,0.02867504581809044,1.0651759112079162e-05,0.017571713775396347,0.21374141238629818,0.6122720241546631,1.3880490064620972,8.384046749238033
16,3.660413309931755,0.16486768424510956,3.4955456256866455,0.027598952874541283,1.0562617717368994e-05,0.014543391764163971,0.20439697802066803,0.5263904333114624,1.473770022392273,8.336810414844969
17,3.5532488375902176,0.14438696205615997,3.4088618755340576,0.024335717782378197,1.0489552551007364e-05,0.009881580248475075,0.21112258546054363,0.4053651988506317,1.5947151184082031,8.28897479907242
18,3.4466405659914017,0.15176017582416534,3.2948803901672363,0.021175110712647438,1.043246538756648e-05,0.007090118248015642,0.20993895176798105,0.33401182293891907,1.6660282611846924,8.24055145674161
19,3.297097399830818,0.1619522124528885,3.1351451873779297,0.020078938454389572,1.038828668242786e-05,0.0074179102666676044,0.2004549978300929,0.36859330534935,1.6314268112182617,8.191116916172502
20,3.067379951477051,0.15304350852966309,2.9143364429473877,0.020501714199781418,1.0358561667089816e-05,0.0094386525452137,0.19423803687095642,0.45960527658462524,1.5404047966003418,8.139879546525549
21,2.8001354783773422,0.14019809663295746,2.6599373817443848,0.01873428374528885,1.0337593266740441e-05,0.007435445208102465,0.17928084917366505,0.39600464701652527,1.604000449180603,8.086482105844066
22,2.5558850467205048,0.14317962527275085,2.412705421447754,0.014732646755874157,1.0997045137628447e-05,0.003604561323300004,0.17610727064311504,0.24335364997386932,1.7566488981246948,8.03117613525283
23,2.3413138538599014,0.1569512039422989,2.1843626499176025,0.012869767844676971,1.0945832400466315e-05,0.003300307085737586,0.16387979593127966,0.25495457649230957,1.7450467348098755,7.9742775124389
24,2.1475288569927216,0.16210493445396423,1.9854239225387573,0.012686945497989655,1.0872783605009317e-05,0.004710812587291002,0.1527752373367548,0.36991479992866516,1.630085825920105,7.916010025884439
25,1.9728240370750427,0.155634343624115,1.8171896934509277,0.010580243542790413,1.0782131539599504e-05,0.003098630579188466,0.1387332659214735,0.291128009557724,1.7088723182678223,7.8565781659963445
26,1.8190740942955017,0.14064615964889526,1.6784279346466064,0.01024895440787077,1.0679104889277369e-05,0.0038429826963692904,0.1277198437601328,0.37326839566230774,1.6267317533493042,7.796203125279336
27,1.6920358836650848,0.13629862666130066,1.5557372570037842,0.007653586566448212,1.0563687283138279e-05,0.0018974660197272897,0.12602797336876392,0.245496928691864,1.7545031309127808,7.735161452863193
28,1.57646743953228,0.1419483870267868,1.4345190525054932,0.006972066126763821,9.65788603934925e-06,0.0025947249960154295,0.11381786316633224,0.3699020743370056,1.6300978660583496,7.673574512729884
29,1.4440015703439713,0.14174725115299225,1.302254319190979,0.007130117155611515,9.48671095102327e-06,0.0034176723565906286,0.1113820793107152,0.4773031175136566,1.5226967334747314,7.611278783306025
30,1.3093584477901459,0.13556703925132751,1.1737914085388184,0.006887089926749468,9.293556104239542e-06,0.0032864678651094437,0.10067300219088793,0.47513484954833984,1.5248650312423706,7.548259579950866
31,1.207867220044136,0.134970024228096,1.07289719581604,0.0055936481803655624,9.085821147891693e-06,0.0019115086179226637,0.0924017857760191,0.33903050422668457,1.6609694957733154,7.484855656351799
32,1.1499314606189728,0.14033356308937073,1.009597897529602,0.004681123420596123,8.879404958861414e-06,0.001367606921121478,0.08787159901112318,0.28890788555145264,1.7110921144485474,7.421506414394471
33,1.1225846409797668,0.14138132333755493,0.9812033176422119,0.00512621458619833,8.684850399731658e-06,0.002620347775518894,0.08189648669213057,0.5086395740509033,1.4913604259490967,7.358517196660324
